1,1,communityID_x,,int
2,1,bl_fasting,,int
3,1,bl_tg,,double
4,1,bl_top_coding_tg,,int
5,1,bl_crea,,double
6,1,bl_bun,,int
7,1,bl_hdl,,int
8,1,bl_ldl,,double
9,1,bl_cho,,double
10,1,bl_glu,,int
11,1,bl_ua,,int
12,1,bl_cysc,,int
13,1,bl_crp,,double
14,1,bl_hbalc,,int
15,1,communityID_y,,int
16,1,pa001,,int
17,1,qa002,,int
18,1,qa002_1,,int
19,1,qa003,,int
20,1,qa004,,int
21,1,qa005,,int
22,1,qa006,,int
23,1,qa006_1,,int
24,1,qa007,,int
25,1,qa008,,int
26,1,qa009,,int
27,1,qa010,,int
28,1,qa010_1,,int
29,1,qa011,,int
30,1,qa012,,int
31,1,qa013,,int
32,1,qa014,,int
33,1,qa016,,int
34,1,qa017,,int
35,1,qb002,,int
36,1,qb003,,int
37,1,qb004,,int
38,1,qc003,,double
39,1,qc004,,double
40,1,qc005,,double
41,1,qc006,,double
42,1,pd001,,int
43,1,qd004,,int
44,1,qi002,,double
45,1,qi003,,int
46,1,pj001,,int
47,1,qj002,,int
48,1,qj003,,int
49,1,qj004,,int
50,1,pk001,,int
51,1,qk002,,double
52,1,ql002,,double
53,1,ql003,,int
54,1,ql004,,int
55,1,qm002,,double
56,1,qm005,,int
57,1,communityID,,int
58,1,ba000_w2_3,,int
59,1,be001,,int
60,1,label,,int
61,1,this_county_Insurance,,int
62,1,Set_data,修改列名，否则与mysql关键字冲突,int
